순번,시도본부,소방서,119안전센터명,주소,latitude,longtitude
1,서울소방재난본부,종로소방서,세종로,서울특별시 종로구 종로1길 28 (수송동),37.5728516379635,126.978909199747
2,서울소방재난본부,종로소방서,신교,서울특별시 종로구 자하문로 93 (신교동),37.5842789170648,126.970027499987
3,서울소방재난본부,종로소방서,종로,서울특별시 종로구 돈화문로 30 (묘동),37.5712662536965,126.992233420661
4,서울소방재난본부,종로소방서,연건,서울특별시 종로구 대학로 91 (연건동),37.5794142791836,127.001835354449
5,서울소방재난본부,종로소방서,신영,서울특별시 종로구 진흥로 477 (신영동),37.6057957808925,126.960846444543
6,서울소방재난본부,종로소방서,숭인,서울특별시 종로구 숭인동길 63 (숭인동),37.5777636587545,127.021706560708
7,서울소방재난본부,중부소방서_서울,무학,서울특별시 중구 퇴계로 394 (무학동),37.5648664558126,127.015378573704
8,서울소방재난본부,중부소방서_서울,을지로,서울특별시 중구 을지로45길 43 (신당동),37.566728573095,127.012025690221
9,서울소방재난본부,중부소방서_서울,충무로,서울특별시 중구 충무로 11 (충무로3가),37.5621562365797,126.992912675198
10,서울소방재난본부,중부소방서_서울,회현,서울특별시 중구 소공로 30 (회현동2가),37.558208190069,126.983364600162
11,서울소방재난본부,중부소방서_서울,신당,서울특별시 중구 다산로8길 2 (신당동),37.5529259688215,127.009640800452
12,서울소방재난본부,광진소방서,구의,서울특별시 광진구 광나루로 480 (구의동),37.5448260218652,127.082778518406
13,서울소방재난본부,광진소방서,능동,서울특별시 광진구 능동로 242 (능동),37.5516759040088,127.076991345349
14,서울소방재난본부,광진소방서,중곡,서울특별시 광진구 용마산로 150 (중곡동),37.5669486795626,127.086643780864
15,서울소방재난본부,성동소방서,행당(구 송정),서울특별시 성동구 살곶이길 331(행당동),37.5537555261627,127.039484725635
16,서울소방재난본부,성동소방서,왕십리(구 행당),서울특별시 성동구 고산자로 249 (도선동),37.5620370536455,127.035474709777
